Company,Current Price,Volatility,Risk Level
EPL,185.48,0.02953,Medium
PTC,157.91,0.02452,Medium
JINDALSTEL,791.05,0.01993,Medium
PODDARMENT,287.2,0.02332,Medium
SINTERCOM,115.35,0.02977,Medium
EVEREADY,275.6,0.0237,Medium
SHREDIGCEM,70.08,0.0208,Medium
PITTIENG,965.4,0.02704,Medium
JMA,73.86,0.0213,Medium
DBOL,66.28,0.02551,Medium
NESCO,911.15,0.01875,Medium
BSHSL,119.76,0.02952,Medium
KCP,193.12,0.02641,Medium
MODIRUBBER,97.04,0.0255,Medium
NAVNETEDUL,134.67,0.01869,Medium
CHEMBOND,506.2,0.021,Medium
IOC,128.09,0.01801,Medium
MEDIASSIST,446.95,0.02415,Medium
PETRONET,275.85,0.0194,Medium
ARVINDFASN,366.45,0.02554,Medium
INFOBEAN,279.85,0.02899,Medium
JIOFIN,213.52,0.02239,Medium
IDFCFIRSTB,56.49,0.0205,Medium
GRANULES,436.9,0.02632,Medium
POWERGRID,289.4,0.01639,Medium
LXCHEM,166.96,0.02412,Medium
YESBANK,16.85,0.01995,Medium
DAMODARIND,31.05,0.02785,Medium
NATIONALUM,144.69,0.0282,Medium
SHAREINDIA,151.95,0.02867,Medium
PNGJL,509.25,0.02795,Medium
SURAKSHA,267.4,0.0276,Medium
UTKARSHBNK,22.7,0.02702,Medium
APTUS,294.4,0.01984,Medium
HEIDELBERG,185.84,0.01859,Medium
UDAICEMENT,26.26,0.02126,Medium
INDIASHLTR,807.3,0.01829,Medium
MASFIN,245.9,0.01976,Medium
VHLTD,109.5,0.02444,Medium
ATLANTAA,29.08,0.02925,Medium
ITDCEM,553.85,0.01548,Medium
