Symbol,Volatility
AAVAS.NS,0.011987956183725003
AIAENG.NS,0.013582122363134637
ALKEM.NS,0.015676029465876064
ABBOTINDIA.NS,0.01587069391490588
ACC.NS,0.016041853422093022
ACCELYA.NS,0.01687570612762046
21STCENMGM.NS,0.017327882657940764
3MINDIA.NS,0.01751799290870265
ABFRL.NS,0.019869156629771925
ABCAPITAL.NS,0.021087717357274636
AARVEEDEN.NS,0.02149643160446995
AETHER.NS,0.02237864693849029
ADORWELD.NS,0.02254370282607786
AGARWALEYE.NS,0.022980681568091556
ALKYLAMINE.NS,0.023026798226923335
AHLUCONT.NS,0.023174377751190217
AADHARHFC.NS,0.02317939514440394
AARVI.NS,0.02321734270741228
AARTIDRUGS.NS,0.023265861999368944
AJAXENGG.NS,0.023272220872239915
ADVANIHOTR.NS,0.02339274244731877
AARTIIND.NS,0.023622168316776188
ADANIPORTS.NS,0.023667387657154332
AARTISURF.NS,0.023765030252033383
AKSHARCHEM.NS,0.024254392258492585
AFFLE.NS,0.024547591958890325
AJANTPHARM.NS,0.024676927037775125
ABB.NS,0.024714683079159448
ALICON.NS,0.024984827077587892
ALLCARGO.NS,0.025091342876739604
ABDL.NS,0.025397562205976474
ACL.NS,0.025708609067994086
ABSLAMC.NS,0.02582108312832493
ADVENZYMES.NS,0.026170663076236483
ALOKINDS.NS,0.02631667742821802
5PAISA.NS,0.02634830516712409
AKG.NS,0.026487961229796044
ALKALI.NS,0.026751508024633244
ACLGATI.NS,0.026954160362594255
AFFORDABLE.NS,0.026987278819605078
AHLEAST.NS,0.02699867469493093
ALLDIGI.NS,0.027056486725518667
ABAN.NS,0.027368038053491583
360ONE.NS,0.02765539187819479
AFSL.NS,0.02779752304875462
AGIIL.NS,0.027888462841255547
AAKASH.NS,0.028329960612743607
ACI.NS,0.028509236298382746
ADL.NS,0.02865266871274992
AGARIND.NS,0.028805390314301425
ALEMBICLTD.NS,0.029014898144856017
AFCONS.NS,0.029181942106926352
AKZOINDIA.NS,0.029194916431286407
AKSHAR.NS,0.02953059489334038
AAATECH.NS,0.029605858967570113
ACE.NS,0.029684398785188502
ALBERTDAVD.NS,0.029732487765545376
AKI.NS,0.030166680341949675
AJOONI.NS,0.030191394475179347
AARTECH.NS,0.030712312220259757
ALMONDZ.NS,0.030763286865451028
AKASH.NS,0.031231464295951136
AARTIPHARM.NS,0.03124621346907712
AKUMS.NS,0.031388959612488214
20MICRONS.NS,0.031569159416234754
ABREL.NS,0.03162948937833322
AAREYDRUGS.NS,0.031676801777570006
ADANIENT.NS,0.03170385998680935
ALANKIT.NS,0.031786839875240086
ABINFRA.NS,0.03245078269892309
AGSTRA.NS,0.032620606139112135
AARON.NS,0.03352779251215751
ADFFOODS.NS,0.033533754657106424
ACCURACY.NS,0.033549606043023254
AIIL.NS,0.033580753278157474
AGROPHOS.NS,0.033889607864676104
ADANIPOWER.NS,0.033965045524559874
AIROLAM.NS,0.03396953978282205
AHLADA.NS,0.034081137193034516
3IINFOLTD.NS,0.034276354705802654
AGRITECH.NS,0.03476953614280121
ALIVUS.NS,0.03586309355370869
AIRAN.NS,0.036024705873865005
ADSL.NS,0.03744995950908232
AFIL.NS,0.03812540446877174
AJMERA.NS,0.038266122595741275
AGI.NS,0.03855131842311831
ACEINTEG.NS,0.03862632936920396
ACMESOLAR.NS,0.040077905488502194
A2ZINFRA.NS,0.04040774811728513
63MOONS.NS,0.04047162167106611
AEGISLOG.NS,0.04050090863488526
ADANIENSOL.NS,0.041298004846917126
AEROFLEX.NS,0.041479660621300506
3PLAND.NS,0.0415263032200109
ABMINTLLTD.NS,0.04154046967141141
ADANIGREEN.NS,0.041751051819322406
ADROITINFO.NS,0.04260726218765577
AKSHOPTFBR.NS,0.048148130083797175
ABIN-RE1.NS,
